,City,Country,Humidity,Latitude,Longitude,Max Temp,Min Temp,Wind Speed,Clouds
269,stornoway,HN,88.0,15.09,-87.97,23.0,23.0,2.1,20.0
270,cidreira,IS,100.0,63.44,-20.27,-5.74,-5.74,1.69,20.0
271,tortoli,PH,65.0,11.0,122.67,26.19,26.19,8.79,20.0
272,chifeng,CA,42.0,50.69,-114.23,11.0,8.0,5.1,1.0
273,hovd,PE,94.0,-11.1,-77.61,19.76,19.76,0.79,20.0
274,malpe,US,70.0,39.31,-74.98,0.6,-3.3,2.1,1.0
275,touros,SV,78.0,13.64,-88.78,26.0,24.0,2.6,0.0
276,bataipora,GL,98.0,60.14,-45.24,-2.07,-2.07,11.29,36.0
277,izumo,CA,68.0,50.03,-66.88,-29.0,-29.0,2.1,5.0
278,goderich,ID,100.0,-0.86,131.25,27.49,27.49,1.69,100.0
279,elizabeth city,OM,100.0,22.57,59.53,20.56,20.56,4.29,0.0
280,olafsvik,GR,100.0,39.45,22.34,6.0,5.0,5.1,75.0
281,sinnamary,GL,58.0,69.22,-51.1,-2.0,-2.0,10.3,80.0
282,san fernando,RU,80.0,69.49,88.39,-28.22,-28.22,1.54,36.0
283,cortez,RU,75.0,56.01,90.42,-11.57,-11.57,5.29,64.0
284,oranjemund,KE,91.0,0.01,37.07,4.01,4.01,0.89,8.0
285,hope,BF,35.0,10.98,-4.92,21.0,21.0,3.1,0.0
286,luderitz,CN,100.0,31.46,104.75,7.66,7.66,2.24,92.0
287,port hardy,ZA,98.0,-23.69,30.14,15.49,15.49,4.94,92.0
288,pauini,RU,61.0,60.06,69.92,-24.84,-24.84,2.44,44.0
289,ternate,JP,55.0,24.8,125.28,17.0,17.0,4.1,75.0
290,arcata,AU,66.0,-14.47,132.26,31.0,31.0,4.6,40.0
291,dakar,IN,72.0,30.62,78.32,-3.57,-3.57,0.79,32.0
292,huarmey,CV,43.0,15.13,-23.22,22.0,22.0,4.1,75.0
293,belmonte,CM,91.0,3.87,11.52,22.54,22.54,1.64,88.0
294,dryden,BR,100.0,-24.32,-47.0,27.81,27.81,7.64,68.0
295,appleton,CN,71.0,42.84,93.51,-6.02,-6.02,2.44,68.0
296,petatlan,US,100.0,45.52,-122.67,8.3,4.4,0.94,90.0
297,samusu,ML,65.0,22.68,-3.98,7.81,7.81,1.24,8.0
298,teruel,PE,100.0,-10.8,-77.72,21.99,21.99,4.24,12.0
299,hihifo,EG,41.0,26.55,31.7,16.0,16.0,2.1,0.0
300,djambala,US,76.0,41.47,-87.06,-8.0,-11.1,1.34,90.0
301,kieta,MR,69.0,20.93,-17.03,17.24,17.24,2.04,88.0
302,amapa,AR,43.0,-43.3,-65.11,19.81,19.81,10.99,0.0
303,vestmannaeyjar,US,92.0,64.84,-147.72,-11.7,-15.0,1.79,1.0
304,dingle,BR,74.0,-15.26,-39.35,28.0,28.0,3.1,20.0
305,black diamond,RU,0.0,62.0,132.43,-35.37,-35.37,1.59,24.0
306,ingelheim,RU,61.0,56.36,114.84,-20.69,-20.69,0.94,24.0
307,hualmay,TR,90.0,40.67,33.6,-0.94,-0.94,0.94,92.0
308,port elizabeth,CI,96.0,4.95,-6.09,28.34,28.34,4.29,8.0
309,san vicente,BR,93.0,-9.87,-56.08,23.89,23.89,0.69,8.0
310,nanortalik,AR,96.0,-29.14,-59.27,25.56,25.56,4.29,76.0
311,port-cartier,BR,78.0,-9.67,-35.74,25.0,25.0,2.6,40.0
312,sorong,BR,96.0,-8.9,-35.15,25.04,25.04,2.99,80.0
313,sur,CO,91.0,11.78,-72.45,25.56,25.56,10.79,0.0
314,saint george,JP,30.0,35.74,139.53,7.0,6.0,6.7,20.0
315,ilulissat,TC,100.0,21.46,-71.14,24.89,24.89,9.09,64.0
316,talnakh,US,73.0,21.44,-157.84,25.0,20.9,9.3,20.0
317,nazarovo,GL,84.0,68.71,-52.87,-2.37,-2.37,8.99,32.0
318,nanyuki,CD,97.0,-6.42,20.79,22.79,22.79,0.89,76.0
319,orodara,US,80.0,35.93,-89.92,7.2,5.0,4.1,1.0
320,mianyang,CO,65.0,4.71,-75.1,26.0,26.0,2.1,20.0
321,duiwelskloof,IS,58.0,63.84,-22.43,-4.0,-6.0,2.6,0.0
322,amderma,GB,87.0,54.08,-0.19,7.0,5.0,5.1,92.0
323,gornopravdinsk,AR,88.0,-51.62,-69.22,16.0,16.0,5.7,40.0
324,grand centre,BG,93.0,42.17,26.57,4.0,4.0,2.1,90.0
325,hirara,RU,76.0,57.06,64.64,-22.0,-22.0,6.0,20.0
326,katherine,CA,64.0,49.22,-68.15,-17.0,-19.0,2.6,90.0
327,umm durman,MX,62.0,18.62,-100.35,14.76,14.76,1.19,0.0
328,dunda,AU,61.0,-34.58,150.85,27.0,27.0,10.3,56.0
329,vila do maio,AU,94.0,-16.92,145.77,26.0,26.0,6.2,90.0
330,yaounde,RU,74.0,60.47,166.1,-24.24,-24.24,1.34,0.0
331,peruibe,CN,49.0,47.79,124.46,-8.42,-8.42,1.44,0.0
332,hami,AU,38.0,-28.95,153.24,34.0,30.0,3.1,0.0
333,tabiauea,PE,96.0,-12.12,-73.0,19.14,19.14,0.79,64.0
334,naftah,CN,91.0,29.04,111.68,6.24,6.24,2.04,80.0
335,portland,YE,71.0,14.28,44.38,0.84,0.84,0.99,0.0
336,taoudenni,RU,59.0,65.85,74.49,-24.57,-24.57,7.09,88.0
337,supe,ZA,86.0,-34.0,24.73,17.39,17.39,5.39,0.0
338,sohag,RU,100.0,65.58,-170.99,-4.37,-4.37,9.74,92.0
339,valparaiso,TH,47.0,15.86,104.63,25.84,25.84,7.64,0.0
340,bentiu,RU,70.0,58.71,81.5,-16.92,-16.92,3.49,48.0
341,nouadhibou,IN,87.0,22.32,72.62,12.0,12.0,3.1,0.0
342,rawson,MX,94.0,18.68,-88.39,23.0,23.0,2.54,75.0
343,fairbanks,ID,64.0,-3.36,135.5,29.34,29.34,1.19,8.0
344,coracao de maria,RU,69.0,50.72,136.64,-16.92,-16.92,1.54,20.0
345,churapcha,PY,69.0,-26.98,-56.83,29.24,29.24,2.14,20.0
346,taksimo,BR,91.0,-12.74,-60.15,23.06,23.06,0.19,68.0
347,ayan,MN,76.0,47.92,106.92,-21.0,-21.0,1.0,0.0
348,toliary,NO,58.0,63.2,10.3,-3.0,-5.0,11.3,40.0
349,sassandra,BR,48.0,2.82,-60.67,30.0,30.0,5.1,40.0
350,alta floresta,ID,89.0,-7.94,110.25,28.09,28.09,1.34,64.0
351,goya,CA,92.0,60.82,-115.79,-15.0,-15.0,1.5,90.0
352,maceio,AR,84.0,-35.66,-63.75,26.34,26.34,5.74,92.0
353,sao jose da coroa grande,NO,100.0,70.86,29.09,-18.74,-18.74,3.14,8.0
354,manaure,RU,74.0,54.5,79.67,-17.49,-17.49,7.19,44.0
355,nishihara,SY,84.0,35.3,37.18,3.39,3.39,1.09,0.0
356,cockburn town,BR,100.0,-17.34,-39.22,26.54,26.54,4.14,80.0
357,ahuimanu,UA,100.0,47.3,31.79,-2.17,-2.17,4.84,92.0
358,aasiaat,CL,54.0,-45.58,-72.07,12.0,12.0,1.5,0.0
359,tshikapa,NZ,65.0,-35.17,173.16,23.09,23.09,4.84,0.0
360,blytheville,US,39.0,34.64,-120.46,20.0,17.0,1.19,75.0
361,santa isabel,EC,96.0,0.61,-80.02,23.29,23.29,1.59,92.0
362,grindavik,ID,92.0,-2.54,115.51,25.64,25.64,1.39,88.0
363,bridlington,AO,94.0,-8.42,20.74,19.91,19.91,1.24,68.0
364,rio gallegos,CL,76.0,-41.87,-73.83,10.0,10.0,1.0,0.0
365,elhovo,VG,69.0,18.42,-64.62,25.0,24.4,6.7,40.0
366,warqla,MU,83.0,-20.01,57.66,26.0,26.0,1.0,20.0
367,tugulym,JP,75.0,33.63,130.94,8.0,5.0,4.1,20.0
368,baie-comeau,PT,93.0,38.73,-27.07,14.0,14.0,6.34,40.0
369,coahuayana,CA,85.0,46.37,-82.65,-12.0,-12.0,5.7,90.0
370,flinders,MG,94.0,-18.17,49.38,24.0,24.0,4.1,75.0
371,cairns,BR,95.0,-15.89,-52.26,21.39,21.39,2.74,24.0
372,tilichiki,RU,61.0,49.74,142.83,-10.07,-10.07,3.34,0.0
373,fuyu,IN,67.0,24.93,76.29,7.39,7.39,1.54,0.0
374,codrington,PE,88.0,-12.06,-77.04,23.0,23.0,6.2,40.0
375,pangoa,PH,100.0,17.08,122.42,21.76,21.76,6.19,92.0
376,changde,HT,100.0,18.19,-73.75,25.31,25.31,6.39,0.0
377,aras,AU,52.0,-31.43,152.91,33.0,33.0,3.6,0.0
378,pangody,ID,99.0,-0.69,100.95,21.89,21.89,1.44,92.0
379,saleaula,RU,100.0,43.06,45.56,1.0,1.0,2.0,90.0
380,kruisfontein,CA,92.0,53.35,-110.85,2.0,2.0,4.6,90.0
381,lavrentiya,FR,81.0,47.55,-2.56,9.0,8.0,7.7,90.0
382,tsihombe,AU,59.0,-15.77,128.74,33.0,33.0,4.6,0.0
383,amnat charoen,BR,100.0,-17.73,-39.27,27.24,27.24,5.59,76.0
384,parabel,AR,31.0,-39.03,-67.58,26.0,26.0,2.6,0.0
385,khambhat,DE,91.0,52.29,11.41,1.94,1.94,5.29,64.0
386,bacalar,IT,92.0,45.76,8.56,0.0,-3.0,1.5,0.0
387,nabire,US,62.0,27.05,-82.42,15.0,13.9,5.7,75.0
388,solnechnyy,US,79.0,34.88,-76.9,6.1,1.1,2.14,1.0
389,san patricio,BR,78.0,-16.44,-39.06,27.0,27.0,4.1,40.0
390,vilhena,RU,69.0,65.37,58.04,-26.22,-26.22,1.24,36.0
391,ulaanbaatar,MX,27.0,30.72,-111.84,8.79,8.79,2.44,0.0
392,ler,IN,81.0,30.57,79.57,-21.87,-21.87,0.24,56.0
393,boa vista,IN,91.0,19.09,74.75,14.39,14.39,4.49,88.0
394,srandakan,RU,83.0,53.87,39.17,-8.34,-8.34,7.84,92.0
395,hay river,US,38.0,31.42,-103.49,9.4,8.3,3.1,1.0
396,general pico,TZ,86.0,-2.12,33.07,21.16,21.16,2.59,12.0
397,kadykchan,OM,45.0,23.6,58.55,17.0,17.0,1.0,0.0
398,berlevag,BR,93.0,-25.23,-50.6,18.59,18.59,3.04,0.0
399,dovolnoye,IR,64.0,35.58,53.39,4.0,4.0,1.0,0.0
400,abu samrah,BR,94.0,-9.91,-63.03,24.31,24.31,0.29,12.0
401,prado,RU,53.0,54.44,113.59,-17.27,-17.27,2.99,24.0
402,nova odesa,RU,89.0,48.97,140.29,-8.92,-8.92,1.99,12.0
403,coihaique,IN,90.0,22.47,78.44,11.14,11.14,2.34,44.0
404,ahipara,CM,100.0,3.63,9.81,26.69,26.69,4.74,64.0
405,karaul,MA,100.0,34.03,-5.02,12.0,11.0,2.1,90.0
406,lompoc,SL,77.0,7.53,-12.5,26.64,26.64,2.59,0.0
407,muisne,CA,85.0,43.96,-78.17,-7.0,-14.0,1.0,90.0
408,sembe,AU,74.0,-35.12,139.28,22.69,22.69,5.64,0.0
409,labuhan,ZM,91.0,-16.1,23.3,19.24,19.24,1.34,24.0
410,lucapa,ET,74.0,6.6,38.42,8.56,8.56,1.54,0.0
411,ancud,ZM,97.0,-10.39,28.7,18.14,18.14,1.24,88.0
412,road town,MX,99.0,21.28,-88.27,20.04,20.04,2.24,44.0
413,grand gaube,CA,84.0,65.28,-126.83,-18.0,-18.0,6.94,90.0
414,miyako,CA,74.0,49.78,-74.86,-31.0,-31.0,1.5,75.0
415,pemangkat,BR,92.0,-0.13,-67.09,24.39,24.39,1.14,44.0
416,praia da vitoria,AU,55.0,-32.59,151.78,33.0,33.0,5.7,20.0
417,elliot lake,PE,100.0,-10.75,-76.3,5.09,5.09,0.54,68.0
418,toamasina,CY,44.0,34.92,32.53,16.0,15.0,6.2,0.0
419,barra do garcas,RU,63.0,52.63,126.75,-15.92,-15.92,1.64,76.0
420,smirnykh,IE,64.0,51.55,-9.27,4.0,4.0,12.9,40.0
421,sangod,MY,94.0,3.17,113.03,25.0,25.0,1.5,75.0
422,lima,NU,70.0,-19.06,-169.92,29.0,29.0,6.7,64.0
423,dicabisagan,PT,81.0,38.7,-9.42,11.0,10.0,2.6,20.0
424,les cayes,NC,91.0,-21.55,167.88,26.56,26.56,7.69,48.0
425,port macquarie,ZW,99.0,-20.94,29.0,18.39,18.39,5.19,92.0
426,odweyne,ID,93.0,-7.02,113.87,28.89,28.89,8.09,56.0
427,sijunjung,BR,83.0,-3.71,-38.6,27.0,27.0,2.1,75.0
428,martan-chu,CN,93.0,28.45,104.71,8.14,8.14,0.79,88.0
429,vermilion,AF,74.0,33.35,64.42,-16.69,-16.69,2.09,0.0
430,ambon,PE,81.0,-13.74,-72.9,8.54,8.54,0.69,80.0
431,kununurra,ID,89.0,-7.95,110.28,28.09,28.09,1.34,64.0
432,caravelas,CD,99.0,-11.66,27.48,17.69,17.69,2.04,92.0
433,general roca,GF,88.0,4.94,-52.33,24.0,24.0,1.0,75.0
434,haldensleben,RU,100.0,59.36,143.24,-18.59,-18.59,2.49,64.0
435,arona,NO,94.0,61.84,6.81,-13.37,-13.37,0.74,24.0
436,south venice,AO,98.0,-12.02,17.48,16.26,16.26,1.24,48.0
437,havelock,PH,90.0,12.22,125.48,25.44,25.44,9.24,64.0
438,porto seguro,NA,100.0,-22.12,14.28,15.26,15.26,1.59,36.0
439,synya,EG,42.0,31.35,27.25,9.0,9.0,6.2,0.0
440,palabuhanratu,JP,24.0,34.7,138.93,8.0,6.0,1.5,20.0
441,altar,KZ,72.0,49.15,56.49,-14.22,-14.22,7.49,0.0
442,joshimath,ET,86.0,8.81,40.52,7.01,7.01,0.34,0.0
443,ahmadnagar,NE,45.0,18.69,12.92,8.41,8.41,5.04,0.0
444,shirokiy,AO,89.0,-14.92,13.49,14.04,14.04,0.49,0.0
445,tahta,DO,88.0,19.77,-70.52,23.0,23.0,2.6,20.0
446,pecos,AU,40.0,-37.83,140.78,23.0,23.0,8.7,75.0
447,mergui,RU,75.0,53.88,43.7,-13.52,-13.52,7.24,80.0
448,nakatunguru,AU,70.0,-13.85,136.42,30.0,30.0,3.6,75.0
449,sentyabrskiy,RU,71.0,59.06,80.87,-17.09,-17.09,2.89,48.0
450,muscat,SA,54.0,18.39,42.45,14.0,14.0,3.1,0.0
451,imbituva,AU,43.0,-24.87,152.35,31.0,31.0,4.6,40.0
452,semnan,PG,96.0,-4.34,152.27,29.39,29.39,3.94,12.0
453,ariquemes,IQ,64.0,33.75,45.55,15.44,15.44,6.84,92.0
454,bagdarin,CN,52.0,44.41,126.94,-2.99,-2.99,5.39,0.0
455,sovetskaya gavan,MX,100.0,15.84,-96.33,25.81,25.81,3.59,0.0
456,pachmarhi,AR,34.0,-41.13,-71.31,18.0,18.0,5.1,0.0
457,yatou,BD,61.0,20.86,92.31,23.79,23.79,1.19,0.0
458,dianopolis,NE,34.0,18.74,7.39,6.34,6.34,3.04,0.0
459,fez,TM,86.0,38.05,58.21,4.0,4.0,3.1,0.0
460,bonthe,CD,100.0,-5.04,18.82,22.54,22.54,1.59,24.0
461,cobourg,US,19.0,31.68,-110.66,15.0,10.0,4.1,1.0
462,murray bridge,US,95.0,31.06,-97.46,12.2,8.9,1.5,90.0
463,senanga,TR,76.0,36.95,36.2,13.0,10.0,2.1,40.0
464,wendo,IR,78.0,36.2,46.09,2.16,2.16,2.29,8.0
465,mwense,CA,75.0,51.26,-80.61,-27.0,-27.0,2.6,90.0
466,panaba,RU,100.0,51.8,143.14,-11.72,-11.72,7.04,0.0
467,tunduru,MM,100.0,19.3,97.96,17.0,17.0,1.09,90.0
468,norman wells,ZM,98.0,-11.84,31.4,18.29,18.29,1.54,92.0
469,chapais,BR,94.0,-5.99,-35.58,25.0,25.0,1.5,40.0
470,sao gabriel da cachoeira,NG,95.0,7.05,3.9,24.31,24.31,1.39,8.0
471,clarence town,LS,100.0,-30.4,27.7,4.44,4.44,1.14,0.0
472,tinyahuarco,RU,83.0,49.65,142.17,-9.99,-9.99,2.14,0.0
473,lasa,MX,44.0,26.91,-109.62,16.0,16.0,5.94,5.0
474,sivaki,CN,28.0,42.12,118.78,-2.09,-2.09,4.94,20.0
475,skibbereen,US,16.0,35.15,-114.57,19.0,10.6,9.3,1.0
476,bintulu,TT,88.0,10.16,-61.68,24.0,24.0,5.89,20.0
477,alofi,CF,31.0,7.69,18.62,23.54,23.54,2.94,68.0
478,cascais,CN,82.0,28.28,88.52,-14.67,-14.67,2.74,12.0
479,tadine,TO,66.0,-18.65,-173.98,29.0,29.0,4.6,40.0
480,gwanda,CA,69.0,55.28,-114.77,6.0,6.0,5.1,90.0
481,sumenep,CN,99.0,23.01,104.4,12.16,12.16,1.14,48.0
482,vila velha,PY,62.0,-25.35,-57.61,31.0,31.0,2.6,20.0
483,xunchang,RU,68.0,63.05,147.18,-27.57,-27.57,1.59,64.0
484,taywarah,CA,34.0,51.29,-114.01,11.0,8.0,8.2,40.0
485,matara,SY,76.0,35.01,37.05,1.26,1.26,1.34,0.0
486,bambanglipuro,GB,100.0,51.59,-3.0,8.0,6.0,7.2,75.0
487,lubumbashi,PH,78.0,11.38,122.76,25.81,25.81,7.29,64.0
488,cayenne,TH,94.0,8.64,99.37,25.0,24.0,2.44,20.0
489,okhotsk,US,87.0,46.88,-102.79,-7.2,-7.2,3.6,90.0
490,olden,NO,58.0,63.12,7.73,-2.0,-2.0,8.2,12.0
491,camacupa,AF,81.0,32.37,62.11,-1.67,-1.67,1.79,0.0
492,sorvag,CF,55.0,10.3,22.78,23.66,23.66,1.14,56.0
493,alugan,RU,73.0,51.54,92.92,-25.22,-25.22,0.99,20.0
494,henties bay,SA,89.0,21.43,39.83,17.74,17.74,1.54,0.0
495,marsa matruh,AU,47.0,-33.38,148.01,31.04,31.04,5.29,32.0
496,shimoda,BR,94.0,-29.69,-53.81,26.0,26.0,2.1,0.0
497,jiroft,ID,87.0,-7.32,109.23,26.16,26.16,1.44,56.0
498,shubarkuduk,CD,96.0,-0.28,20.88,22.79,22.79,0.99,56.0
499,gelemso,UY,96.0,-33.52,-56.9,23.06,23.06,3.44,32.0
500,bilma,GE,78.0,41.96,42.96,10.0,10.0,7.2,0.0
501,lubango,BM,93.0,32.3,-64.78,19.0,19.0,2.1,90.0
502,sosua,SE,83.0,67.86,20.23,-21.0,-21.0,1.19,76.0
503,bafra,RU,0.0,69.3,139.9,-39.69,-39.69,1.14,24.0
504,mount gambier,RU,76.0,54.81,82.6,-20.0,-20.0,6.0,75.0
505,narovchat,RU,70.0,63.01,112.47,-21.24,-21.24,2.94,76.0
506,alyangula,AU,66.0,-20.31,118.58,31.0,31.0,8.7,76.0
507,acara,VE,74.0,9.35,-65.33,24.81,24.81,3.79,64.0
508,kargasok,IN,44.0,27.93,96.16,15.26,15.26,0.29,92.0
509,faya,RU,88.0,50.41,41.76,-10.52,-10.52,6.59,88.0
510,bundaberg,US,20.0,34.56,-111.85,10.0,4.4,2.1,1.0
511,kokopo,BA,85.0,44.56,16.73,-6.0,-6.0,1.0,0.0
512,mandali,NZ,73.0,-45.75,170.57,23.06,23.06,2.09,36.0
513,shulan,RU,60.0,53.05,158.65,-13.0,-13.0,3.0,0.0
514,huatulco,NG,36.0,10.4,5.47,19.81,19.81,3.69,0.0
515,san carlos de bariloche,PT,67.0,37.8,-25.58,14.0,14.0,3.6,75.0
516,teknaf,RU,53.0,57.84,108.35,-15.84,-15.84,3.14,44.0
517,arlit,CN,42.0,40.61,115.04,-6.44,-6.44,2.74,12.0
518,buzmeyin,VE,93.0,10.67,-63.26,24.39,24.39,5.19,24.0
519,kikwit,RU,76.0,43.97,42.04,-5.19,-5.19,1.44,0.0
520,sonoita,CM,58.0,7.32,13.58,15.26,15.26,1.39,0.0
521,belton,RU,84.0,64.73,177.51,-19.0,-19.0,4.09,40.0
522,ngukurr,RU,76.0,62.72,147.95,-28.77,-28.77,1.59,64.0
523,erzin,AU,49.0,-34.85,139.16,23.0,23.0,5.7,75.0
524,mitu,BR,100.0,-5.35,-49.1,25.0,25.0,1.5,0.0
525,moose factory,MX,37.0,27.97,-114.04,16.76,16.76,4.94,0.0
526,nogliki,IN,72.0,25.52,90.21,18.09,18.09,1.59,92.0
527,mae hong son,NC,96.0,-21.35,165.16,25.99,25.99,8.84,20.0
528,mpika,CN,44.0,43.65,111.97,-9.24,-9.24,8.14,0.0
529,bom jesus,BR,91.0,-2.92,-39.92,24.91,24.91,3.84,56.0
530,arawa,SO,100.0,2.04,45.34,25.81,25.81,12.04,0.0
531,quthing,ID,84.0,-2.88,108.27,29.31,29.31,6.19,64.0
532,boshnyakovo,NZ,39.0,-35.1,173.78,27.99,27.99,2.44,0.0
533,etchojoa,NG,39.0,11.96,9.63,15.16,15.16,2.69,0.0
534,mujiayingzi,US,70.0,39.41,-74.36,-1.7,-3.3,2.1,1.0
535,bullhead city,MN,29.0,48.81,103.53,-14.52,-14.52,2.09,0.0
536,point fortin,BR,94.0,-23.49,-48.41,19.76,19.76,2.54,0.0
537,kabo,CA,73.0,60.72,-135.06,-3.0,-3.0,1.0,40.0
538,gamba,CA,91.0,53.41,-111.68,1.84,1.84,4.09,92.0
